Date,Open,High,Low,Close,Adj Close,Volume
2022-06-30,360.000000,363.600006,354.000000,354.399994,354.399994,33385197
2022-07-04,354.399994,356.399994,344.399994,347.000000,347.000000,38455595
2022-07-05,348.000000,353.399994,347.399994,348.799988,348.799988,19486553
2022-07-06,349.000000,353.000000,340.799988,347.600006,347.600006,24822317
2022-07-07,343.200012,351.600006,342.799988,351.600006,351.600006,18985683
2022-07-08,357.200012,357.200012,348.600006,352.600006,352.600006,18754352
2022-07-11,344.399994,346.200012,340.200012,342.399994,342.399994,20598133
2022-07-12,338.600006,340.799988,336.200012,337.799988,337.799988,17307064
2022-07-13,338.600006,341.200012,335.000000,335.399994,335.399994,17134245
2022-07-14,334.600006,337.399994,332.000000,335.000000,335.000000,16774995
2022-07-15,330.000000,332.399994,323.200012,325.000000,325.000000,26328504
2022-07-18,326.399994,333.799988,321.000000,332.600006,332.600006,20372247
2022-07-19,331.399994,338.399994,330.000000,333.200012,333.200012,12655564
2022-07-20,342.000000,342.799988,338.000000,338.600006,338.600006,15982772
2022-07-21,335.000000,336.600006,329.200012,334.000000,334.000000,19107287
2022-07-22,337.600006,339.600006,330.000000,332.000000,332.000000,15081236
2022-07-25,329.600006,330.000000,321.600006,326.399994,326.399994,16847756
2022-07-26,324.600006,330.399994,323.200012,329.399994,329.399994,13863359
2022-07-27,325.000000,327.799988,320.000000,320.200012,320.200012,19816350
2022-07-28,324.600006,325.799988,320.000000,320.799988,320.799988,15349399
2022-07-29,320.799988,323.399994,305.000000,306.799988,306.799988,37194352
2022-08-01,302.000000,304.799988,299.600006,299.600006,299.600006,39993630
2022-08-02,295.200012,295.799988,288.000000,295.000000,295.000000,42691346
2022-08-03,299.000000,306.399994,298.000000,302.600006,302.600006,27403685
2022-08-04,307.799988,312.000000,305.200012,312.000000,312.000000,19792022
2022-08-05,313.399994,314.000000,304.200012,307.600006,307.600006,16442481
2022-08-08,302.399994,305.799988,298.200012,299.399994,299.399994,15046951
2022-08-09,300.000000,304.399994,296.399994,298.000000,298.000000,14193448
2022-08-10,299.600006,299.799988,292.200012,295.600006,295.600006,15358607
2022-08-11,299.200012,304.600006,298.200012,303.600006,303.600006,14861997
2022-08-12,304.600006,304.600006,300.200012,304.200012,304.200012,10981685
2022-08-15,301.799988,305.799988,299.000000,300.399994,300.399994,11622138
2022-08-16,302.000000,306.000000,292.600006,303.000000,303.000000,23529966
2022-08-17,303.000000,305.799988,297.000000,303.200012,303.200012,17616313
2022-08-18,316.000000,316.000000,309.399994,312.600006,312.600006,32206273
2022-08-19,312.600006,320.000000,312.200012,315.000000,315.000000,23266775
2022-08-22,312.200012,315.600006,308.200012,310.600006,310.600006,14775320
2022-08-23,312.000000,314.000000,309.000000,312.799988,312.799988,13530189
2022-08-24,313.799988,315.399994,307.399994,310.000000,310.000000,13050814
2022-08-25,312.600006,325.399994,312.600006,325.000000,325.000000,19441009
2022-08-26,330.200012,330.799988,321.399994,324.200012,324.200012,18576228
2022-08-29,319.000000,324.799988,316.799988,323.000000,323.000000,12394983
2022-08-30,323.000000,323.799988,313.799988,323.600006,323.600006,14042944
2022-08-31,315.000000,334.600006,314.799988,327.200012,327.200012,26206525
2022-09-01,327.000000,333.600006,324.000000,324.600006,324.600006,23932337
2022-09-02,323.799988,330.600006,322.200012,328.600006,328.600006,25490848
2022-09-05,324.000000,324.799988,316.000000,319.000000,319.000000,20370608
2022-09-06,319.000000,321.600006,311.600006,314.200012,314.200012,16233176
2022-09-07,309.200012,312.399994,306.200012,311.600006,311.600006,15178496
2022-09-08,306.799988,310.600006,300.200012,301.799988,301.799988,23574804
2022-09-09,299.000000,309.399994,299.000000,307.000000,307.000000,17162625
2022-09-13,308.600006,308.799988,304.399994,304.799988,304.799988,17173715
2022-09-14,300.399994,304.200012,299.000000,299.600006,299.600006,17988979
2022-09-15,299.200012,302.399994,299.200012,300.000000,300.000000,13321901
2022-09-16,297.399994,299.399994,293.200012,293.200012,293.200012,24944190
2022-09-19,292.200012,292.799988,288.200012,289.000000,289.000000,22924233
2022-09-20,292.399994,296.600006,292.399994,293.399994,293.399994,15136256
2022-09-21,290.399994,291.399994,286.000000,286.000000,286.000000,16093175
2022-09-22,282.000000,285.399994,279.200012,283.000000,283.000000,17537491
2022-09-23,278.600006,281.399994,275.000000,275.000000,275.000000,19674705
2022-09-26,273.200012,287.600006,273.200012,283.200012,283.200012,24646712
2022-09-27,282.399994,283.200012,275.200012,280.799988,280.799988,22729235
2022-09-28,279.799988,279.799988,273.399994,274.000000,274.000000,22159591
2022-09-29,278.200012,283.799988,268.200012,270.600006,270.600006,20159158
2022-09-30,266.799988,276.399994,263.600006,266.399994,266.399994,22458387
2022-10-03,264.000000,266.799988,259.399994,263.799988,263.799988,13987290
2022-10-05,274.799988,280.000000,271.200012,279.000000,279.000000,18141455
2022-10-06,279.000000,282.600006,275.000000,277.799988,277.799988,10374051
2022-10-07,273.799988,274.399994,270.000000,270.600006,270.600006,9981032
2022-10-10,266.000000,268.399994,262.799988,263.799988,263.799988,15679704
2022-10-11,261.600006,262.399994,254.199997,254.600006,254.600006,21324035
2022-10-12,251.000000,264.000000,248.000000,253.600006,253.600006,32025105
2022-10-13,254.399994,255.000000,246.199997,246.199997,246.199997,22159044
2022-10-14,250.000000,258.799988,248.399994,249.199997,249.199997,31457117
2022-10-17,245.199997,250.800003,240.800003,247.199997,247.199997,26319069
